Category,Metric,Institutional Goal,Actual,Status
Return Quality,Sharpe Ratio,>2.0,3.77,Pass
Return Quality,Sortino Ratio,>3.0,12.36,Pass
Return Quality,Calmar Ratio,>3.0,57.07,Pass
Return Quality,CAGR %,>30%,1034.19%,Pass
Return Quality,Return / MaxDD,>3x,57.07,Pass
Return Quality,Gross Return %,info,305.77%,N/A
Return Quality,Net Return %,info,291.49%,N/A
Return Quality,CAGR / Total Return (×),info,3.55,N/A
Return Quality,Equity Multiplier (×),info,3.91,N/A
Return Quality,Doubling Periods,info,1.97,N/A
Return Quality,Volatility Drag Ann %,info,25.09,N/A
Return Quality,FA-WF Mean OOS Sharpe,>1.5,3.68,Pass
Return Quality,FA-WF Median OOS Sharpe,>1.0,3.68,Pass
Return Quality,Min OOS Fold Sharpe,>0.5,2.84,Pass
Return Quality,Avg Monthly Return %,>0%,21.46%,Pass
Return Quality,Worst Monthly Return %,>-20%,3.67%,Pass
Robustness & Validation,FA Walk-Forward CV,<0.25,0.32,Pass
Robustness & Validation,Sharpe Std Dev (WF folds),<1.0,1.187,Fail
Robustness & Validation,FA-WF % Folds Positive,>80%,100.00%,Pass
Robustness & Validation,FA-WF Unstable Folds,0,0,Pass
Robustness & Validation,FA-WF Mean DSR %,>80%,88.25%,Pass
Robustness & Validation,Deflated Sharpe (DSR) %,>95%,99.99%,Pass
Robustness & Validation,PBO %,<30%,19.20,Pass
Robustness & Validation,Performance Degradation,<0.3,0.370,Fail
Robustness & Validation,IS/OOS CAGR Ratio,>0.5,1.983,Pass
Robustness & Validation,Sharpe Decay IS→OOS %,<40%,6.38,Pass
Risk Profile,Max Drawdown %,>-30%,-18.12%,Pass
Risk Profile,Avg Drawdown %,>-15%,-6.04%,Pass
Risk Profile,Avg DD Recovery (days),<90d,15d,Pass
Risk Profile,Ulcer Index,<10,5.48,Pass
Risk Profile,Max DD Duration (days),<180d,45.00,Pass
Risk Profile,% Time Underwater,<70%,62.41,Pass
Risk Profile,Worst Single Day %,>-10%,-8.97%,Pass
Risk Profile,CVaR 5% (weekly) %,>-20%,-6.60,Pass
Risk Profile,Consecutive Loss Streak,<7d,5,Pass
Risk Profile,Probability of Loss %,<5%,0.00%,Pass
Risk Profile,"Ruin Prob (50% DD, 365d) %",<10%,0.05,Pass
Risk Profile,Tail Ratio,>1.2,1.93,Pass
Risk Profile,Gain-to-Pain Ratio,>1.5,1.81,Pass
Regime Attribution,Sharpe in High Dispersion,>1.5,N/A,N/A
Regime Attribution,Sharpe in Low Dispersion,>0.5,N/A,N/A
Regime Attribution,Sharpe in BTC Uptrend,>1.5,N/A,N/A
Regime Attribution,Sharpe in BTC Downtrend,>0.5,N/A,N/A
Regime Attribution,Sharpe in High BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe in Low BTC Vol,>1.0,N/A,N/A
Regime Attribution,Sharpe HighDisp+HighVol,>2.0,N/A,N/A
Regime Attribution,Sharpe LowDisp+LowVol,>1.0,N/A,N/A
Market Independence,Beta to BTC,<0.5,N/A,N/A
Market Independence,BTC Variance Explained %,<10%,N/A,N/A
Market Independence,Annual Alpha %,>0%,N/A,N/A
Market Independence,Equity Curve R²,>0.9,0.986,Pass
Market Independence,Return Autocorrelation,≈0,-0.099,Pass
Execution & Capacity,Sharpe @2× Slippage,>1.5,3.77,Pass
Execution & Capacity,Total Fee Drag %,<5%,3.65%,Pass
Execution & Capacity,Avg Fee Per Active Day %,<0.15%,0.13%,Pass
Execution & Capacity,Avg Fee Per Calendar Day %,<0.05%,0.04%,Pass
Execution & Capacity,Avg Leverage Used,info,1.33×,N/A
Execution & Capacity,Universe Size,>20,Top100,Pass
Execution & Capacity,Active Days %,20–60%,26.88%,Pass
Execution & Capacity,Avg Overlap Symbols/Day,>3,6.9/day,Pass
Execution & Capacity,Data Coverage (days),>365d,398d,Pass
Execution & Capacity,Sample Size,>500d,398d,Fail
