drop_pct,vol_mult,Sharpe,CAGR%,MaxDD%,Active,Flat,WF_CV,WF_MeanOOS,WF_PctPos%,WF_Unstable
0.02,1.4,0.853,44.5,-55.07,86,312,2.229,1.758,66.7,3
0.023,1.4,0.891,48.6,-56.76,88,310,2.172,1.837,66.7,3
0.024,1.4,0.891,48.6,-56.76,88,310,2.172,1.837,66.7,3
0.025,1.4,0.891,48.6,-56.76,88,310,2.172,1.837,66.7,3
0.026,1.4,0.891,48.6,-56.76,88,310,2.172,1.837,66.7,3
0.027,1.4,0.73,32.3,-56.76,90,308,3.048,1.212,66.7,3
0.028,1.4,0.73,32.3,-56.76,90,308,3.048,1.212,66.7,3
0.029,1.4,0.73,32.3,-56.76,90,308,3.048,1.212,66.7,3
0.03,1.4,0.796,38.8,-54.44,91,307,3.048,1.212,66.7,3
0.031,1.4,0.732,32.5,-56.71,92,306,3.048,1.212,66.7,3
0.032,1.4,0.732,32.5,-56.71,92,306,3.048,1.212,66.7,3
0.033,1.4,0.732,32.5,-56.71,92,306,3.048,1.212,66.7,3
0.034,1.4,0.732,32.5,-56.71,92,306,3.048,1.212,66.7,3
0.035,1.4,0.732,32.5,-56.71,92,306,3.048,1.212,66.7,3
0.04,1.4,0.544,15.1,-56.71,93,305,4.331,0.883,55.6,4
