aum_usd,impact_one_way_pct,rt_cost_pct,sharpe,sharpe_delta,cagr_pct,maxdd_pct,calmar,grade
100000,0.5817,1.16341,-0.0673,-0.8198,-50.27,-77.17,-0.65,Unusable
143844,0.69767,1.39533,-0.2311,-0.9836,-58.98,-79.04,-0.75,Unusable
206913,0.83675,1.6735,-0.4273,-1.1798,-67.46,-81.08,-0.83,Unusable
297635,1.00356,2.00713,-0.662,-1.4145,-75.37,-83.28,-0.91,Unusable
428133,1.20363,2.40725,-0.942,-1.6945,-82.39,-87.12,-0.95,Unusable
615848,1.44357,2.88715,-1.275,-2.0275,-88.24,-91.35,-0.97,Unusable
885866,1.73136,3.46271,-1.669,-2.4215,-92.78,-94.68,-0.98,Unusable
1274274,2.07651,4.15302,-2.1316,-2.8841,-95.99,-97.1,-0.99,Unusable
1832980,2.49047,4.98094,-2.6686,-3.4212,-98.03,-98.62,-0.99,Unusable
2636650,2.98696,5.97391,-3.2827,-4.0352,-99.17,-99.46,-1.0,Unusable
3792690,3.58242,7.16484,-3.9701,-4.7226,-99.71,-99.83,-1.0,Unusable
5455594,4.29659,8.59317,-4.7181,-5.4706,-99.92,-99.96,-1.0,Unusable
7847599,5.15313,10.30626,-5.5035,-6.256,-99.98,-99.99,-1.0,Unusable
11288378,6.18042,12.36085,-6.2933,-7.0458,-100.0,-100.0,-1.0,Unusable
16237767,7.41252,14.82503,-7.0492,-7.8018,-100.0,-100.0,-1.0,Unusable
23357214,8.89023,17.78046,-7.7358,-8.4883,-100.0,-100.0,-1.0,Unusable
33598182,10.66253,21.32507,-8.3278,-9.0803,-100.0,-100.0,-1.0,Unusable
48329302,12.78815,25.57631,-8.814,-9.5666,-100.0,-100.0,-1.0,Unusable
69519279,15.33752,30.67504,-9.1972,-9.9497,-100.0,-100.0,-1.0,Unusable
100000000,18.39512,36.79023,-9.4889,-10.2414,-100.0,-100.0,-1.0,Unusable
