n_removed,days_removed,sharpe,cagr_pct,maxdd_pct,delta_sharpe,delta_cagr_pct
0,,1.1514,107.35,-58.799,0.0,0.0
1,49.0%,0.851,43.99,-58.799,-0.3003,-63.36
3,"49.0%, 39.3%, 37.7%",0.26,-20.98,-58.94,-0.8913,-128.33
5,"49.0%, 39.3%, 37.7%, 35.0%, 32.0%",-0.3901,-53.84,-68.33,-1.5415,-161.19
10,"49.0%, 39.3%, 37.7%, 35.0%, 32.0% … +5 more",-1.9707,-82.96,-87.364,-3.1221,-190.31
