surface,param_x,param_y,threshold_pct,threshold_sharpe,cells_above_threshold,pct_of_surface,largest_cluster_cells,baseline_in_cluster,verdict
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.95,3.5539,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.975,3.6475,8,12.5,8,True,Robust plateau | baseline inside
killx_killy,EARLY_KILL_X,EARLY_KILL_Y,0.99,3.7036,8,12.5,8,True,Robust plateau | baseline inside
sl_tsl,PORT_SL,PORT_TSL,0.95,3.6446,92,51.11,84,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.975,3.7405,70,38.89,70,False,Robust plateau | baseline outside
sl_tsl,PORT_SL,PORT_TSL,0.99,3.798,14,7.78,13,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.95,3.5539,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.975,3.6475,108,100.0,108,False,Robust plateau | baseline outside
lbase_lhigh,L_BASE,L_HIGH,0.99,3.7036,108,100.0,108,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.95,3.6147,132,66.67,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.975,3.7099,132,66.67,132,False,Robust plateau | baseline outside
lhigh_tsl,L_HIGH,PORT_TSL,0.99,3.767,22,11.11,11,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.95,3.5882,64,80.0,56,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.975,3.6827,56,70.0,56,False,Robust plateau | baseline outside
sl_lhigh,PORT_SL,L_HIGH,0.99,3.7393,39,48.75,32,False,Robust plateau | baseline outside
killy_sl,EARLY_KILL_Y,PORT_SL,0.95,3.5882,64,80.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.975,3.6827,56,70.0,56,True,Robust plateau | baseline inside
killy_sl,EARLY_KILL_Y,PORT_SL,0.99,3.7393,40,50.0,32,False,Robust plateau | baseline outside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.5539,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.6475,8,10.0,8,True,Robust plateau | baseline inside
filly_killy,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.7036,8,10.0,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.95,3.5539,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.975,3.6475,8,8.33,8,True,Robust plateau | baseline inside
filly_fine,EARLY_FILL_Y,EARLY_KILL_Y,0.99,3.7036,8,8.33,8,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.95,3.5568,7,10.0,7,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.975,3.6504,6,8.57,5,True,Robust plateau | baseline inside
fillx_filly,EARLY_FILL_X,EARLY_FILL_Y,0.99,3.7066,5,7.14,5,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.95,3.6235,25,100.0,25,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.975,3.7188,13,52.0,9,True,Robust plateau | baseline inside
killy_instilly,EARLY_KILL_Y,EARLY_INSTILL_Y,0.99,3.7761,1,4.0,1,False,Single-cell peak | baseline outside
