EARLY_FILL_X,EARLY_FILL_Y,Sharpe,CAGR%,MaxDD%,Worst1D%,Calmar,WF_CV,baseline
360,0.07,3.0858,6141.78,-69.621,-39.84,88.217,0.8287,False
360,0.08,3.2684,12793.63,-62.237,-39.84,205.564,0.6344,False
360,0.09,3.2741,15350.31,-70.284,-39.005,218.404,0.7505,False
360,0.1,3.0686,11635.48,-72.795,-39.84,159.839,0.757,False
360,0.15,3.1447,22186.01,-70.277,-39.84,315.695,0.6647,False
360,0.175,3.1632,29170.11,-70.277,-39.84,415.075,0.6669,False
360,0.2,3.1531,29354.49,-69.6,-39.84,421.759,0.6621,False
360,0.225,3.0754,39488.87,-69.598,-39.84,567.387,0.613,False
360,0.25,3.0262,33123.92,-69.598,-39.84,475.933,0.6115,False
360,0.3,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
540,0.07,3.5069,9900.04,-40.775,-22.512,242.796,0.6144,False
540,0.08,3.6765,14886.64,-40.775,-23.19,365.092,0.4854,False
540,0.09,3.6867,20508.38,-52.023,-32.417,394.219,0.4961,False
540,0.1,3.3988,22498.32,-56.787,-39.84,396.184,0.4666,False
540,0.15,3.1491,22473.93,-70.103,-39.84,320.582,0.6583,False
540,0.175,3.1892,32017.57,-69.555,-39.84,460.318,0.6274,False
540,0.2,3.1884,34131.62,-69.371,-39.84,492.015,0.6123,False
540,0.225,3.1339,50399.46,-68.453,-39.84,736.268,0.5515,False
540,0.25,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
540,0.3,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
600,0.07,3.3435,6825.48,-40.775,-22.512,167.393,0.6231,False
600,0.08,3.6034,11984.74,-40.775,-23.19,293.923,0.4867,False
600,0.09,3.7767,19441.77,-40.775,-22.417,476.805,0.4471,False
600,0.1,3.3141,18118.71,-56.787,-39.84,319.062,0.4675,False
600,0.15,3.1491,22473.93,-70.103,-39.84,320.582,0.6583,False
600,0.175,3.1892,32017.57,-69.555,-39.84,460.318,0.6274,False
600,0.2,3.1884,34131.62,-69.371,-39.84,492.015,0.6123,False
600,0.225,3.1339,50399.46,-68.453,-39.84,736.268,0.5515,False
600,0.25,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
600,0.3,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
660,0.07,3.3083,6221.91,-40.775,-22.512,152.591,0.6322,False
660,0.08,3.5855,11339.97,-40.775,-23.19,278.11,0.4933,False
660,0.09,3.7576,18235.98,-40.775,-22.417,447.233,0.4518,False
660,0.1,3.3211,18431.53,-56.787,-39.84,324.57,0.4677,False
660,0.15,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
660,0.175,3.1892,32017.57,-69.555,-39.84,460.318,0.6274,False
660,0.2,3.1884,34131.62,-69.371,-39.84,492.015,0.6123,False
660,0.225,3.1339,50399.46,-68.453,-39.84,736.268,0.5515,False
660,0.25,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
660,0.3,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
720,0.07,3.2655,5727.3,-40.775,-22.512,140.461,0.6238,False
720,0.08,3.601,11767.21,-40.775,-23.19,288.588,0.4933,False
720,0.09,3.7785,19211.7,-40.775,-22.417,471.163,0.4518,False
720,0.1,3.318,18256.15,-56.787,-39.84,321.482,0.4687,False
720,0.15,3.1478,21916.81,-70.103,-39.84,312.635,0.6476,False
720,0.175,3.1901,32151.91,-69.555,-39.84,462.25,0.6286,False
720,0.2,3.1967,35599.97,-69.371,-39.84,513.182,0.6229,False
720,0.225,3.1339,50399.46,-68.453,-39.84,736.268,0.5515,False
720,0.25,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
720,0.3,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
900,0.07,3.2463,5455.26,-45.253,-22.512,120.551,0.6304,False
900,0.08,3.5768,10623.42,-40.775,-23.19,260.537,0.4964,False
900,0.09,3.7846,18727.2,-40.775,-22.417,459.28,0.4581,False
900,0.1,3.3837,21220.69,-56.787,-39.84,373.686,0.4837,False
900,0.15,3.2356,30263.02,-70.103,-39.84,431.691,0.6502,False
900,0.175,3.2797,44609.66,-69.555,-39.84,641.355,0.6317,False
900,0.2,3.2368,42105.0,-69.371,-39.84,606.953,0.6229,False
900,0.225,3.1754,59601.15,-68.453,-39.84,870.692,0.5515,False
900,0.25,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
900,0.3,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
1080,0.07,3.23,5287.55,-45.253,-22.769,116.845,0.6315,False
1080,0.08,3.5808,10725.39,-40.775,-23.252,263.038,0.4943,False
1080,0.09,3.806,19717.43,-40.775,-22.417,483.566,0.4598,False
1080,0.1,3.427,19976.88,-56.787,-39.84,351.783,0.4906,False
1080,0.15,3.2347,30730.68,-70.103,-39.84,438.362,0.6498,False
1080,0.175,3.2782,44566.6,-69.555,-39.84,640.736,0.6317,False
1080,0.2,3.2483,46059.51,-69.371,-39.84,663.959,0.6237,False
1080,0.225,3.1776,61761.45,-68.453,-39.84,902.251,0.5521,False
1080,0.25,3.0458,36435.08,-69.598,-39.84,523.509,0.6117,False
1080,0.3,2.9527,45140.6,-69.398,-39.84,650.463,0.5922,False
